Tournament,PlayerID,Name,FName,Club,Lineup,Position,Price,Owned,Captained
1114209,4665130,Montero,Alvaro,COL,unexpected,goalkeeper,5,0.02,0.00
1114209,4665131,Lucumi,Jhon,COL,expected,defender,5.5,0.52,0.00
1114209,4665132,Mina,Yerry,COL,unexpected,defender,5.5,0.02,0.00
1114209,4665134,Machado,Deiver,COL,expected,defender,5,0.05,0.00
1114209,4665135,Mojica,Johan,COL,unexpected,defender,5.5,1.96,0.00
1114209,4665138,Carrascal,Jorge,COL,unexpected,midfielder,6,0.02,0.00
1114209,4665139,Quintero,Juan Fernando ,COL,unexpected,midfielder,6.5,0.05,0.00
1114209,4665140,Rios,Richard,COL,possible,midfielder,5.5,0.23,0.00
1114209,4665141,Lerma,Jefferson,COL,expected,midfielder,5.5,0.32,0.00
1114209,4665142,Castano,Kevin,COL,unexpected,midfielder,5,0.01,0.00
1114209,4665143,Portilla,Juan,COL,unexpected,midfielder,5,0.01,0.00
1114209,4665144,Rodriguez,James,COL,expected,midfielder,8.5,1.79,0.01
1114209,4665146,Arias,Jhon,COL,expected,midfielder,7.5,0.68,0.01
1114209,4665147,Diaz,Luis,COL,expected,midfielder,9,18.35,0.32
1114209,4665148,Puerta,Gustavo,COL,expected,midfielder,5,0.07,0.00
1114209,4665150,Gomez,Andres,COL,unexpected,midfielder,6,0.01,0.00
1114209,4665152,Cordoba,Jhon,COL,expected,forward,7.5,0.00,0.00
1114209,4665155,Suarez,Luis,COL,possible,forward,8,3.59,0.08
1114209,4665157,Campaz,Jaminton,COL,unexpected,midfielder,6,0.02,0.00
1114209,4665159,Vasilj,Nikola,BIH,expected,goalkeeper,4.5,1.20,0.01
1114209,4665160,Zlomislic,Martin,BIH,unexpected,goalkeeper,4,0.03,0.00
1114209,4665162,Muharemovic,Tarik,BIH,possible,defender,4.5,0.24,0.00
1114209,4665163,Dedic,Amar,BIH,expected,defender,4.5,1.06,0.00
1114209,4665164,Kolasinac,Sead,BIH,expected,defender,4.5,1.07,0.01
1114209,4665166,Katic,Nikola,BIH,expected,defender,4.5,0.91,0.00
1114209,4665167,Malic,Arjan,BIH,unexpected,defender,4.5,0.01,0.01
1114209,4665168,Mujakic,Nihad,BIH,unexpected,defender,4.5,0.01,0.00
1114209,4665169,Radeljic,Stjepan,BIH,expected,defender,4,0.16,0.00
1114209,4665171,Tahirovic,Benjamin,BIH,possible,midfielder,5.5,0.08,0.01
1114209,4665172,Memic,Amar,BIH,possible,midfielder,5,0.10,0.00
1114209,4665173,Gigovic,Armin,BIH,unexpected,midfielder,4.5,0.00,0.00
1114209,4665174,Sunjic,Ivan,BIH,expected,midfielder,4.5,0.14,0.00
1114209,4665176,Basic,Ivan,BIH,expected,midfielder,4.5,0.72,0.00
1114209,4665177,Burnic,Dzenis,BIH,unexpected,midfielder,4.5,0.01,0.00
1114209,4665178,Hadziahmetovic,Amir,BIH,unexpected,midfielder,4.5,0.00,0.00
1114209,4665179,Alajbegovic,Kerim,BIH,expected,midfielder,6.5,0.09,0.00
1114209,4665180,Bajraktarevic,Esmir,BIH,expected,midfielder,6.5,1.01,0.00
1114209,4665182,Bazdar,Samed,BIH,unexpected,midfielder,6,0.00,0.00
1114209,4665183,Demirovic,Ermedin,BIH,expected,forward,6.5,3.10,0.06
1114209,4665184,Tabakovic,Haris,BIH,unexpected,forward,6,0.01,0.00
1114209,4665185,Dzeko,Edin,BIH,expected,forward,7.5,0.87,0.11
1114209,4665186,Lukic,Jovo,BIH,unexpected,forward,5,0.47,0.00
1114209,4665187,Mpazi-Nzau,Lionel,COD,expected,goalkeeper,4.5,0.20,0.00
1114209,4665189,Epolo,Matthieu,COD,unexpected,goalkeeper,4,0.01,0.00
1114209,4665190,Fayulu,Timothy,COD,unexpected,goalkeeper,4,0.01,0.00
1114209,4665191,Wan-Bissaka,Aaron,COD,expected,defender,4.5,0.54,0.00
1114209,4665192,Tuanzebe,Axel,COD,expected,defender,4.5,0.06,0.00
1114209,4665194,Mbemba,Chancel,COD,expected,defender,4.5,0.04,0.00
1114209,4665195,Masuaku,Arthur,COD,expected,defender,4.5,0.55,0.01
1114209,4665196,Kalulu,Gedeon,COD,unexpected,defender,4,0.04,0.00
1114209,4665197,Batubinsika,Dylan,COD,unexpected,defender,4,0.00,0.00
1114209,4665199,Kapuadi,Steve,COD,unexpected,defender,4,0.22,0.00
1114209,4665201,Sadiki,Noah,COD,expected,midfielder,4.5,0.80,0.00
1114209,4665202,Mukau,Ngal'ayel,COD,unexpected,midfielder,4.5,0.01,0.00
1114209,4665203,Kayembe,Edo,COD,unexpected,midfielder,5,0.01,0.00
1114209,4665204,Pickel,Charles,COD,unexpected,midfielder,5,0.01,0.00
1114209,4665205,Elia,Meschack,COD,possible,midfielder,5.5,0.02,0.00
1114209,4665206,Moutoussamy,Samuel,COD,expected,midfielder,4.5,0.11,0.00
1114209,4665207,Kakuta,Gael,COD,unexpected,midfielder,5,0.00,0.00
1114209,4665208,Tshibola,Aaron,COD,unexpected,midfielder,4.5,0.01,0.00
1114209,4665209,Bongonda,Theo,COD,unexpected,midfielder,6,0.01,0.00
1114209,4665212,Mbuku,Nathanael,COD,expected,midfielder,5,0.02,0.00
1114209,4665213,Cipenga,Brian,COD,expected,midfielder,5,0.01,0.00
1114209,4665214,Wissa,Yoanne,COD,expected,forward,6.5,4.13,0.09
1114209,4665215,Mayele,Fiston,COD,unexpected,forward,5,0.01,0.00
1114209,4665216,Bakambu,Cedric,COD,expected,forward,5.5,1.03,0.01
1114209,4665218,Banza,Simon,COD,unexpected,forward,5,0.01,0.00
1114209,4665219,Kayembe,Joris,COD,unexpected,defender,4.5,0.00,0.00
1114209,4665220,Moro,Nikola,CRO,unexpected,midfielder,4.5,0.01,0.00
1114209,4665222,Fruk,Toni,CRO,unexpected,midfielder,5.5,0.00,0.00
1114209,4665223,Jakic,Kristijan,CRO,unexpected,midfielder,5,0.00,0.00
1114209,4665224,Livakovic,Dominik,CRO,expected,goalkeeper,5,1.53,0.00
1114209,4665225,Stanisic,Josip,CRO,expected,defender,5,1.54,0.00
1114209,4665226,Sutalo,Josip,CRO,expected,defender,5,0.02,0.00
1114209,4665227,Matanovic,Igor,CRO,unexpected,forward,6,0.06,0.00
1114209,4665228,Sucic,Luka,CRO,unexpected,midfielder,4.5,0.06,0.00
1114209,4665229,Budimir,Ante,CRO,expected,forward,7,0.55,0.00
1114209,4665230,Modric,Luka,CRO,expected,midfielder,6.5,1.36,0.00
1114209,4665233,Erlic,Martin,CRO,unexpected,defender,4.5,0.01,0.00
1114209,4665234,Pasalic,Marco,CRO,unexpected,midfielder,5.5,0.12,0.00
1114209,4665236,Baturina,Martin,CRO,expected,midfielder,6,0.39,0.00
1114209,4665237,Kramaric,Andrej,CRO,unexpected,midfielder,8,0.12,0.00
1114209,4665238,Gvardiol ,Josko,CRO,expected,defender,5.5,2.11,0.00
1114209,4665239,Pasalic,Mario,CRO,unexpected,midfielder,6.5,0.05,0.00
1114209,4665240,Musa,Petar,CRO,possible,forward,5,1.87,0.01
1114209,4665241,Pongracic,Marin,CRO,unexpected,defender,5,0.07,0.00
1114209,4665242,Kovacic ,Mateo,CRO,expected,midfielder,5.5,0.22,0.00
1114209,4665243,Vuskovic,Luka,CRO,possible,defender,4.5,1.83,0.00
1114209,4665244,Perisic,Ivan,CRO,expected,midfielder,7.5,0.32,0.00
1114209,4665247,Vlasic,Nikola,CRO,expected,midfielder,6,0.01,0.00
1114209,4665248,Sucic,Petar,CRO,expected,midfielder,5,0.20,0.00
1114209,4665249,Pandur,Ivor,CRO,unexpected,goalkeeper,4.5,0.01,0.00
1114209,4665250,Caleta-Car,Duje,CRO,possible,defender,5,0.04,0.00
1114209,4665252,Kuwas,Brandley,CUW,gameweek_off,midfielder,4.5,0.01,0.00
1114209,4665253,Sambo,Shurandy,CUW,gameweek_off,defender,4,0.16,0.00
1114209,4665254,Felida,Kevin,CUW,gameweek_off,midfielder,4.5,0.00,0.00
1114209,4665255,Doornbusch,Trevor,CUW,gameweek_off,goalkeeper,4,0.02,0.00
1114209,4665256,Martha,Ar'jany,CUW,gameweek_off,midfielder,4.5,0.00,0.00
1114209,4665257,Comenencia,Livano,CUW,gameweek_off,defender,4,0.29,0.00
1114209,4665258,Obispo,Armando,CUW,gameweek_off,defender,4,0.03,0.00
1114209,4665259,Bodak,Tyrick,CUW,gameweek_off,goalkeeper,4,0.01,0.00
1114209,4665260,Antonisse,Jeremy,CUW,gameweek_off,midfielder,4.5,0.10,0.00
