Tournament,PlayerID,Name,FName,Club,Lineup,Position,Price
1126770,4665776,Malen,Donyell,NED,possible,midfielder,9.2
1126770,4665777,Wieffer,Mats,NED,unexpected,midfielder,7.8
1126770,4665778,Timber,Quinten,NED,unexpected,midfielder,7.9
1126770,4665779,Dumfries,Denzel,NED,expected,defender,9.1
1126770,4665782,Gravenberch,Ryan,NED,expected,midfielder,9.4
1126770,4665785,Depay,Memphis,NED,unexpected,forward,9.6
1126770,4665786,de Jong,Frenkie,NED,expected,midfielder,8.1
1126770,4665787,Lang,Noa,NED,unexpected,midfielder,8.6
1126770,4665788,Brobbey,Brian,NED,expected,forward,10
1126770,4665789,van de Ven,Micky,NED,expected,defender,8.4
1126770,4665790,Weghorst,Wout,NED,unexpected,forward,8.7
1126770,4665791,Koopmeiners,Teun,NED,unexpected,midfielder,8.5
1126770,4665792,Geertruida,Lutsharel,NED,unexpected,defender,8.1
1126770,4665825,Selvik,Egil,NOR,expected,goalkeeper,8.8
1126770,4665826,Nyland,Orjan,NOR,unexpected,goalkeeper,8.9
1126770,4665830,Moller Wolfe,David ,NOR,expected,defender,8.7
1126770,4665831,Berge,Sander,NOR,expected,midfielder,9.8
1126770,4665832,Bjorkan,Fredrik,NOR,unexpected,defender,7.8
1126770,4665833,Heggem,Torbjorn,NOR,expected,defender,8.3
1126770,4665834,Ostigard,Leo,NOR,unexpected,defender,8.1
1126770,4665835,Pedersen,Marcus,NOR,expected,defender,8.2
1126770,4665836,Berg,Patrick,NOR,possible,midfielder,8.1
1126770,4665837,Ryerson,Julian,NOR,possible,defender,8.5
1126770,4665839,Ajer,Kristoffer,NOR,expected,defender,8.4
1126770,4665841,Odegaard,Martin,NOR,expected,midfielder,10.9
1126770,4665842,Aasgaard,Thelo,NOR,unexpected,midfielder,10.5
1126770,4665843,Strand Larsen,Jorgen,NOR,unexpected,forward,10.2
1126770,4665845,Hauge,Jens Petter ,NOR,unexpected,midfielder,9.4
1126770,4665847,Thorsby,Morten,NOR,unexpected,midfielder,8
1126770,4665848,Thorstvedt,Kristian,NOR,unexpected,midfielder,9.6
1126770,4665849,Haaland,Erling,NOR,expected,forward,11.6
1126770,4665850,Schjelderup,Andreas,NOR,unexpected,midfielder,10.4
1126770,4665851,Bobb ,Oscar,NOR,unexpected,midfielder,10
1126770,4665852,Nusa,Antonio,NOR,expected,midfielder,10.6
1126770,4665853,Sorloth,Alexander,NOR,expected,forward,10.7
1126770,4665885,Gill,Orlando,PAR,expected,goalkeeper,4.4
1126770,4665887,Fernandez,Roberto,PAR,unexpected,goalkeeper,4.3
1126770,4665889,Alonso,Junior,PAR,expected,defender,3.7
1126770,4665890,Gomez ,Gustavo,PAR,expected,defender,3.8
1126770,4665891,Alderete,Omar,PAR,unexpected,defender,4
1126770,4665892,Caceres,Juan Jose,PAR,expected,defender,3.9
1126770,4665894,Balbuena,Fabian,PAR,unexpected,defender,3.5
1126770,4665896,Velazquez,Gustavo,PAR,unexpected,defender,3.6
1126770,4665899,Galarza ,Matias,PAR,expected,midfielder,5.4
1126770,4665900,Enciso,Julio,PAR,expected,midfielder,5.6
1126770,4665901,Bobadilla,Damian,PAR,expected,midfielder,4.1
1126770,4665903,Cubas,Andres,PAR,expected,midfielder,4.2
1126770,4665904,Kaku,Kaku,PAR,unexpected,midfielder,4.5
1126770,4665906,Gomez,Diego,PAR,suspended,midfielder,5.1
1126770,4665909,Ojeda,Braian,PAR,unexpected,midfielder,4
1126770,4665910,Mauricio,Mauricio,PAR,possible,midfielder,5.3
1126770,4665912,Almiron,Miguel,PAR,expected,midfielder,5
1126770,4665913,Caballero,Gustavo,PAR,unexpected,midfielder,4.3
1126770,4665914,Pitta,Isidro,PAR,unexpected,forward,4.6
1126770,4665915,Arce ,Alex,PAR,unexpected,forward,4.7
1126770,4665916,Sosa,Ramon,PAR,unexpected,midfielder,4.9
1126770,4665917,Sanabria,Antonio,PAR,possible,forward,5.2
1126770,4665918,Avalos,Gabriel,PAR,expected,forward,4.8
1126770,4666041,Diouf,Yehvann,SEN,unexpected,goalkeeper,6.3
1126770,4666042,Diouf,El Hadji Malick ,SEN,expected,defender,6
1126770,4666043,Mendy,Edouard,SEN,unexpected,goalkeeper,6.5
1126770,4666045,Mendy,Antoine,SEN,unexpected,defender,5.6
1126770,4666046,Diaw,Mory,SEN,expected,goalkeeper,6.4
1126770,4666047,Jakobs,Ismail,SEN,unexpected,defender,5.9
1126770,4666048,Niakhate,Moussa,SEN,expected,defender,6.2
1126770,4666049,Koulibaly,Kalidou,SEN,possible,defender,6.1
1126770,4666053,Diatta,Krepin,SEN,expected,midfielder,6.3
1126770,4666054,Ciss,Pathe,SEN,unexpected,midfielder,5.7
1126770,4666055,Sarr,Mamadou,SEN,unexpected,defender,5.7
1126770,4666056,Sarr,Ismaila,SEN,expected,midfielder,7.7
1126770,4666057,Camara,Lamine,SEN,expected,midfielder,6.8
1126770,4666058,Mane,Sadio,SEN,expected,midfielder,7.4
1126770,4666059,Diao ,Assane,SEN,unexpected,midfielder,5.6
1126770,4666060,Sarr,Pape Matar ,SEN,unexpected,midfielder,6.4
1126770,4666061,Seck,Abdoulaye,SEN,expected,defender,5.8
1126770,4666063,Mbaye,Ibrahim,SEN,unexpected,midfielder,6.9
1126770,4666064,Gueye,Idrissa,SEN,expected,midfielder,5.9
1126770,4666065,Ndiaye,Iliman,SEN,possible,midfielder,7.2
1126770,4666066,Gueye,Pape,SEN,expected,midfielder,7.1
1126770,4666067,Diarra,Habib,SEN,unexpected,midfielder,5.8
1126770,4666069,Ndiaye,Cherif,SEN,unexpected,forward,6.6
1126770,4666071,Jackson,Nicolas,SEN,expected,forward,7.3
1126770,4666073,Dieng,Bamba,SEN,unexpected,forward,6.5
1126770,4666169,Johansson,Viktor,SWE,unexpected,goalkeeper,3.9
1126770,4666172,Nordfelt,Kristoffer,SWE,expected,goalkeeper,4.1
1126770,4666173,Hien,Isak,SWE,injured,defender,3.2
1126770,4666174,Svensson,Daniel,SWE,unexpected,defender,3.1
1126770,4666175,Ekdal,Hjalmar,SWE,unexpected,defender,2.9
1126770,4666176,Lindelof,Victor,SWE,expected,defender,3.4
1126770,4666177,Starfelt,Carl,SWE,unexpected,defender,3
1126770,4666178,Gudmundsson,Gabriel,SWE,expected,defender,3.3
1126770,4666179,Lagerbielke,Gustaf,SWE,expected,defender,3.5
1126770,4666182,Sema,Ken,SWE,unexpected,midfielder,4.2
1126770,4666183,Bergvall,Lucas,SWE,possible,midfielder,3.8
1126770,4666186,Ayari,Yasin,SWE,expected,midfielder,5.1
